formula,mass,charge,description,chemical_class,alucone_relevance
[C5H41OAl-H]+,143.288905,positive,Hydrogen loss,Al-organic_hybrid,High
C5H40OAl-,143.290003,negative,Molecular anion,Al-organic_hybrid,High
[C5H41OAl-H]-,143.290003,negative,Deprotonated,Al-organic_hybrid,High
[H45OAl3+H]+,143.298933,positive,Protonated,Aluminum_oxide,High
H46OAl3+,143.298933,positive,Molecular ion,Aluminum_oxide,High
[H47OAl3-H]+,143.298933,positive,Hydrogen loss,Aluminum_oxide,High
H46OAl3-,143.30003100000002,negative,Molecular anion,Aluminum_oxide,High
[H47OAl3-H]-,143.30003100000002,negative,Deprotonated,Aluminum_oxide,High
[CH44O2Al2+H]+,143.304484,positive,Protonated,Al-organic_hybrid,High
CH45O2Al2+,143.304484,positive,Molecular ion,Al-organic_hybrid,High
[CH46O2Al2-H]+,143.304484,positive,Hydrogen loss,Al-organic_hybrid,High
CH45O2Al2-,143.30558200000002,negative,Molecular anion,Al-organic_hybrid,High
[CH46O2Al2-H]-,143.30558200000002,negative,Deprotonated,Al-organic_hybrid,High
[C2H43O3Al+H]+,143.310035,positive,Protonated,Al-organic_hybrid,High
C2H44O3Al+,143.310035,positive,Molecular ion,Al-organic_hybrid,High
[C2H45O3Al-H]+,143.310035,positive,Hydrogen loss,Al-organic_hybrid,High
C2H44O3Al-,143.311133,negative,Molecular anion,Al-organic_hybrid,High
[C2H45O3Al-H]-,143.311133,negative,Deprotonated,Al-organic_hybrid,High
[C6H43Al+H]+,143.32529,positive,Protonated,Al-organic_hybrid,High
C6H44Al+,143.32529,positive,Molecular ion,Al-organic_hybrid,High
[C6H45Al-H]+,143.32529,positive,Hydrogen loss,Al-organic_hybrid,High
C6H44Al-,143.326388,negative,Molecular anion,Al-organic_hybrid,High
[C6H45Al-H]-,143.326388,negative,Deprotonated,Al-organic_hybrid,High
[CH49Al3+H]+,143.335318,positive,Protonated,Al-organic_hybrid,High
CH50Al3+,143.335318,positive,Molecular ion,Al-organic_hybrid,High
CH50Al3-,143.336416,negative,Molecular anion,Al-organic_hybrid,High
[C2H48OAl2+H]+,143.340869,positive,Protonated,Al-organic_hybrid,High
C2H49OAl2+,143.340869,positive,Molecular ion,Al-organic_hybrid,High
[C2H50OAl2-H]+,143.340869,positive,Hydrogen loss,Al-organic_hybrid,High
C2H49OAl2-,143.341967,negative,Molecular anion,Al-organic_hybrid,High
[C2H50OAl2-H]-,143.341967,negative,Deprotonated,Al-organic_hybrid,High
[C3H47O2Al+H]+,143.34642,positive,Protonated,Al-organic_hybrid,High
C3H48O2Al+,143.34642,positive,Molecular ion,Al-organic_hybrid,High
[C3H49O2Al-H]+,143.34642,positive,Hydrogen loss,Al-organic_hybrid,High
C3H48O2Al-,143.347518,negative,Molecular anion,Al-organic_hybrid,High
[C3H49O2Al-H]-,143.347518,negative,Deprotonated,Al-organic_hybrid,High
C3Al4+,143.92560699999999,positive,Molecular ion,Al-organic_hybrid,High
[C3HAl4-H]+,143.925607,positive,Hydrogen loss,Al-organic_hybrid,High
C3Al4-,143.926705,negative,Molecular anion,Al-organic_hybrid,High
[C3HAl4-H]-,143.92670500000003,negative,Deprotonated,Al-organic_hybrid,High
[H3O2Al4+H]+,143.94673699999998,positive,Protonated,Aluminum_oxide,High
H4O2Al4+,143.946737,positive,Molecular ion,Aluminum_oxide,High
[H5O2Al4-H]+,143.946737,positive,Hydrogen loss,Aluminum_oxide,High
H4O2Al4-,143.94783500000003,negative,Molecular anion,Aluminum_oxide,High
[H5O2Al4-H]-,143.94783500000003,negative,Deprotonated,Aluminum_oxide,High
[CH2O3Al3+H]+,143.952288,positive,Protonated,Al-organic_hybrid,High
CH3O3Al3+,143.952288,positive,Molecular ion,Al-organic_hybrid,High
[CH4O3Al3-H]+,143.952288,positive,Hydrogen loss,Al-organic_hybrid,High
CH3O3Al3-,143.95338600000002,negative,Molecular anion,Al-organic_hybrid,High
[CH4O3Al3-H]-,143.95338600000002,negative,Deprotonated,Al-organic_hybrid,High
[C2HO4Al2+H]+,143.957839,positive,Protonated,Al-organic_hybrid,High
C2H2O4Al2+,143.957839,positive,Molecular ion,Al-organic_hybrid,High
[C2H3O4Al2-H]+,143.957839,positive,Hydrogen loss,Al-organic_hybrid,High
C2H2O4Al2-,143.95893700000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H3O4Al2-H]-,143.95893700000002,negative,Deprotonated,Al-organic_hybrid,High
[C3O5Al+H]+,143.96339,positive,Protonated,Al-organic_hybrid,High
C3HO5Al+,143.96339,positive,Molecular ion,Al-organic_hybrid,High
[C3H2O5Al-H]+,143.96339,positive,Hydrogen loss,Al-organic_hybrid,High
C3HO5Al-,143.96448800000002,negative,Molecular anion,Al-organic_hybrid,High
[C3H2O5Al-H]-,143.96448800000002,negative,Deprotonated,Al-organic_hybrid,High
[C5H2Al3+H]+,143.967543,positive,Protonated,Al-organic_hybrid,High
C5H3Al3+,143.967543,positive,Molecular ion,Al-organic_hybrid,High
[C5H4Al3-H]+,143.967543,positive,Hydrogen loss,Al-organic_hybrid,High
C5H3Al3-,143.96864100000002,negative,Molecular anion,Al-organic_hybrid,High
[C5H4Al3-H]-,143.96864100000002,negative,Deprotonated,Al-organic_hybrid,High
[C6HOAl2+H]+,143.973094,positive,Protonated,Al-organic_hybrid,High
C6H2OAl2+,143.973094,positive,Molecular ion,Al-organic_hybrid,High
[C6H3OAl2-H]+,143.973094,positive,Hydrogen loss,Al-organic_hybrid,High
C6H2OAl2-,143.97419200000002,negative,Molecular anion,Al-organic_hybrid,High
[C6H3OAl2-H]-,143.97419200000002,negative,Deprotonated,Al-organic_hybrid,High
[H8Al5+H]+,143.977571,positive,Protonated,Aluminum,High
H9Al5+,143.977571,positive,Molecular ion,Aluminum,High
[H10Al5-H]+,143.977571,positive,Hydrogen loss,Aluminum,High
[C7O2Al+H]+,143.978645,positive,Protonated,Al-organic_hybrid,High
C7HO2Al+,143.978645,positive,Molecular ion,Al-organic_hybrid,High
[C7H2O2Al-H]+,143.978645,positive,Hydrogen loss,Al-organic_hybrid,High
H9Al5-,143.97866900000002,negative,Molecular anion,Aluminum,High
[H10Al5-H]-,143.97866900000002,negative,Deprotonated,Aluminum,High
C7HO2Al-,143.979743,negative,Molecular anion,Al-organic_hybrid,High
[C7H2O2Al-H]-,143.979743,negative,Deprotonated,Al-organic_hybrid,High
[CH7OAl4+H]+,143.98312199999998,positive,Protonated,Al-organic_hybrid,High
CH8OAl4+,143.983122,positive,Molecular ion,Al-organic_hybrid,High
[CH9OAl4-H]+,143.983122,positive,Hydrogen loss,Al-organic_hybrid,High
CH8OAl4-,143.98422000000002,negative,Molecular anion,Al-organic_hybrid,High
[CH9OAl4-H]-,143.98422000000002,negative,Deprotonated,Al-organic_hybrid,High
[H4O7Al+H]+,143.98452,positive,Protonated,Aluminum_oxide,High
H5O7Al+,143.98452,positive,Molecular ion,Aluminum_oxide,High
[H6O7Al-H]+,143.98452,positive,Hydrogen loss,Aluminum_oxide,High
H5O7Al-,143.98561800000002,negative,Molecular anion,Aluminum_oxide,High
[H6O7Al-H]-,143.98561800000002,negative,Deprotonated,Aluminum_oxide,High
[C2H6O2Al3+H]+,143.988673,positive,Protonated,Al-organic_hybrid,High
C2H7O2Al3+,143.988673,positive,Molecular ion,Al-organic_hybrid,High
[C2H8O2Al3-H]+,143.988673,positive,Hydrogen loss,Al-organic_hybrid,High
C2H7O2Al3-,143.98977100000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H8O2Al3-H]-,143.98977100000002,negative,Deprotonated,Al-organic_hybrid,High
[C3H5O3Al2+H]+,143.994224,positive,Protonated,Al-organic_hybrid,High
C3H6O3Al2+,143.994224,positive,Molecular ion,Al-organic_hybrid,High
[C3H7O3Al2-H]+,143.994224,positive,Hydrogen loss,Al-organic_hybrid,High
C3H6O3Al2-,143.99532200000002,negative,Molecular anion,Al-organic_hybrid,High
[C3H7O3Al2-H]-,143.99532200000002,negative,Deprotonated,Al-organic_hybrid,High
[C4H4O4Al+H]+,143.999775,positive,Protonated,Al-organic_hybrid,High
C4H5O4Al+,143.999775,positive,Molecular ion,Al-organic_hybrid,High
[C4H6O4Al-H]+,143.999775,positive,Hydrogen loss,Al-organic_hybrid,High
C4H5O4Al-,144.000873,negative,Molecular anion,Al-organic_hybrid,High
[C4H6O4Al-H]-,144.000873,negative,Deprotonated,Al-organic_hybrid,High
[C7H5Al2+H]+,144.009479,positive,Protonated,Al-organic_hybrid,High
C7H6Al2+,144.009479,positive,Molecular ion,Al-organic_hybrid,High
[C7H7Al2-H]+,144.009479,positive,Hydrogen loss,Al-organic_hybrid,High
C7H6Al2-,144.010577,negative,Molecular anion,Al-organic_hybrid,High
[C7H7Al2-H]-,144.010577,negative,Deprotonated,Al-organic_hybrid,High
[C8H4OAl+H]+,144.01503,positive,Protonated,Al-organic_hybrid,High
C8H5OAl+,144.01503,positive,Molecular ion,Al-organic_hybrid,High
[C8H6OAl-H]+,144.01503,positive,Hydrogen loss,Al-organic_hybrid,High
[H9O5Al2+H]+,144.015354,positive,Protonated,Aluminum_oxide,High
H10O5Al2+,144.015354,positive,Molecular ion,Aluminum_oxide,High
[H11O5Al2-H]+,144.015354,positive,Hydrogen loss,Aluminum_oxide,High
C8H5OAl-,144.016128,negative,Molecular anion,Al-organic_hybrid,High
[C8H6OAl-H]-,144.016128,negative,Deprotonated,Al-organic_hybrid,High
H10O5Al2-,144.01645200000002,negative,Molecular anion,Aluminum_oxide,High
